Airport 1,Airport 2,Distance (miles)
ATL,AUS,811.0409583985536
ATL,DEN,1197.2186157563442
ATL,DFW,729.8652471585236
ATL,IAH,688.2499051011519
ATL,JFK,759.5143098289595
ATL,LAX,1942.4255207666263
ATL,MIA,595.8918226240928
ATL,ORD,606.452881896573
ATL,PHX,1584.0007855600322
ATL,SEA,2178.034390449653
ATL,TPA,406.99430580440077
ATL,MCO,404.2896149558438
AUS,DEN,776.0728391998474
AUS,DFW,190.09655214650618
AUS,IAH,139.51566912856566
AUS,JFK,1519.2023405942125
AUS,LAX,1239.714684609637
AUS,MIA,1101.5090773724103
AUS,ORD,977.7034991036776
AUS,PHX,870.8902995236617
AUS,SEA,1769.570905926885
AUS,TPA,925.6093529103539
AUS,MCO,991.9694467625194
DEN,DFW,641.3554913842061
DEN,IAH,862.2020800298795
DEN,JFK,1621.7678652070624
DEN,LAX,860.7963597049195
DEN,MIA,1708.1109037958759
DEN,ORD,885.9935927048588
DEN,PHX,601.8500075982229
DEN,SEA,1022.285376788086
DEN,TPA,1505.3734522127324
DEN,MCO,1545.0106080623902
DFW,IAH,224.71448070153153
DFW,JFK,1388.8516355430456
DFW,LAX,1232.3951246223805
DFW,MIA,1119.984876144625
DFW,ORD,801.7037654357548
DFW,PHX,866.1375608988114
DFW,SEA,1658.0466209057652
DFW,TPA,927.5718688654395
DFW,MCO,983.333783409784
IAH,JFK,1415.5854154269484
IAH,LAX,1376.4909027057613
IAH,MIA,962.956370251961
IAH,ORD,925.9742018634786
IAH,PHX,1007.2582777271213
IAH,SEA,1872.5925999571814
IAH,TPA,786.0961542900476
IAH,MCO,852.6063266761919
JFK,LAX,2469.6882268095906
JFK,MIA,1091.7590182058384
JFK,ORD,738.2662416982969
JFK,PHX,2148.931696044186
JFK,SEA,2415.161033025146
JFK,TPA,1006.5004741984741
JFK,MCO,945.3822880355752
LAX,MIA,2338.28893723328
LAX,ORD,1741.142492580222
LAX,PHX,369.3913604972041
LAX,SEA,955.1841607061837
LAX,TPA,2154.096022123443
LAX,MCO,2213.697591278577
MIA,ORD,1199.0155051778124
MIA,PHX,1968.8984656114774
MIA,SEA,2721.485333641919
MIA,TPA,204.54989929138662
MIA,MCO,192.61351844121273
ORD,PHX,1437.358530376859
ORD,SEA,1716.1789879559053
ORD,TPA,1013.4306319691734
ORD,MCO,1006.4108607534747
PHX,SEA,1107.3256176071566
PHX,TPA,1785.1264115089702
PHX,MCO,1845.3819176611273
SEA,TPA,2517.3259068205607
SEA,MCO,2550.664607310513
TPA,MCO,80.97720008552307
